Timestamp,RTU: Supply Air Temperature,RTU: Return Air Temperature,RTU: Supply Air Fan Status,RTU: Circuit 1 Discharge Temperature,RTU: Circuit 1 Condenser Outlet Temperature,RTU: Circuit 1 Suction Temperature,RTU: Circuit 2 Discharge Temperature,RTU: Circuit 2 Condenser Outlet Temperature,RTU: Circuit 2 Suction Temperature,RTU: Circuit 1 Discharge Pressure,RTU: Circuit 1 Condenser Outlet Pressure,RTU: Circuit 1 Suction Pressure,RTU: Circuit 2 Discharge Pressure,RTU: Circuit 2 Condenser Outlet Pressure,RTU: Circuit 2 Suction Pressure,RTU: Supply Air Volumetric Flow Rate,RTU: Electricity,RTU: Natural Gas,Occupancy Mode Indicator,Terminal: Room 102 Air Humidity,Terminal: Room 103 Air Humidity,Terminal: Room 104 Air Humidity,Terminal: Room 105 Air Humidity,Terminal: Room 106 Air Humidity,Terminal: Room 202 Air Humidity,Terminal: Room 203 Air Humidity,Terminal: Room 204 Air Humidity,Terminal: Room 205 Air Humidity,Terminal: Room 206 Air Humidity,Terminal: Room 102 Air Temperature,Terminal: Room 103 Air Temperature,Terminal: Room 104 Air Temperature,Terminal: Room 105 Air Temperature,Terminal: Room 106 Air Temperature,Terminal: Room 202 Air Temperature,Terminal: Room 203 Air Temperature,Terminal: Room 204 Air Temperature,Terminal: Room 205 Air Temperature,Terminal: Room 206 Air Temperature,Terminal: Room Air Temperature Heating Setpoint,Terminal: Room Air Temperature Cooling Setpoint,HVAC System: Electricity,Lighting System: Electricity,Lighting System: Control Command,RTU: Compressor 1 On/Off Status,RTU: Compressor 2 On/Off Status,RTU: Fan Electricity ,VAV Box: Room 102 Reheat Status,VAV Box: Room 103 Reheat Status,VAV Box: Room 104 Reheat Status,VAV Box: Room 105 Reheat Status,VAV Box: Room 106 Reheat Status,VAV Box: Room 202 Reheat Status,VAV Box: Room 203 Reheat Status,VAV Box: Room 204 Reheat Status,VAV Box: Room 205 Reheat Status,VAV Box: Room 206 Reheat Status,VAV Box: Room 102 Air Temperature,VAV Box: Room 103 Air Temperature,VAV Box: Room 104 Air Temperature,VAV Box: Room 105 Air Temperature,VAV Box: Room 106 Air Temperature,VAV Box: Room 202 Air Temperature,VAV Box: Room 203 Air Temperature,VAV Box: Room 204 Air Temperature,VAV Box: Room 205 Air Temperature,VAV Box: Room 206 Air Temperature,Fault Detection Ground Truth
8/27/2017 0:00,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07747,0,0,50.06,47.64,49.42,47.12,49.55,48.64,47.86,45.73,44.14,44.67,72.32,74.03,72.02,72.83,72.92,73.14,72.67,72.84,74.62,74.87,60,80,3.50865,10.57066,0,0,0,0.32319,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8/27/2017 0:01,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3083,0,0,49.97,47.64,49.47,47.17,49.61,48.66,48.05,45.76,44.04,44.68,72.29,73.97,72.01,72.85,72.95,73.17,72.66,72.85,74.58,74.93,60,80,3.70485,10.57066,0,0,0,0.32319,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8/27/2017 0:02,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07747,0,0,50.06,47.69,49.43,47.2,49.65,48.71,47.95,45.76,44.12,44.72,72.34,74.05,71.99,72.9,72.97,73.21,72.72,72.88,74.66,74.92,60,80,3.54327,10.55142,0,0,0,0.32319,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8/27/2017 0:03,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07747,0,0,50.1,47.67,49.57,47.21,49.65,48.68,47.9,45.79,44.02,44.88,72.31,74.08,72.03,72.85,72.99,73.2,72.72,72.87,74.64,74.99,60,80,3.42785,10.57451,0,0,0,0.27702,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8/27/2017 0:04,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07747,0,0,50.02,47.69,49.5,47.24,49.59,48.71,47.98,45.79,44.01,44.82,72.29,74.04,72,72.9,72.94,73.18,72.7,72.85,74.51,74.97,60,80,3.47402,10.57066,0,0,0,0.32319,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8/27/2017 0:05,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07747,0,0,49.86,47.68,49.51,47.22,49.5,48.71,47.95,45.8,44.06,44.75,72.23,74.06,72.03,72.9,73,73.22,72.68,72.84,74.51,74.94,60,80,3.63561,10.55527,0,0,0,0.32319,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8/27/2017 0:06,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3083,0,0,49.94,47.69,49.57,47.21,49.64,48.71,47.86,45.82,44.08,44.73,72.25,74.08,72.03,72.87,72.99,73.21,72.7,72.92,74.61,74.94,60,80,3.70485,10.57066,0,0,0,0.27702,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8/27/2017 0:07,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07747,0,0,49.94,47.64,49.57,47.21,49.72,48.68,48,45.8,44.07,44.78,72.27,74.09,72.02,72.82,72.97,73.23,72.67,72.83,74.58,74.94,60,80,3.48556,10.58605,0,0,0,0.32319,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8/27/2017 0:08,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07747,0,0,49.94,47.68,49.57,47.26,49.62,48.69,47.86,45.82,44.06,44.81,72.31,74.08,71.99,72.86,72.96,73.24,72.69,72.85,74.59,74.94,60,80,3.48556,10.55527,0,0,0,0.32319,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8/27/2017 0:09,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07747,0,0,50.05,47.67,49.55,47.31,49.67,48.68,47.95,45.85,44.07,44.79,72.34,74.1,72,72.91,73.01,73.24,72.68,72.85,74.59,74.93,60,80,3.50865,10.56681,0,0,0,0.32319,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
